"","placelist...1.","X","positions","X.1","day1$testing_rate_final","day2$testing_rate_final","day3$testing_rate_final","day4$testing_rate_final","day5$testing_rate_final","day6$testing_rate_final","day1$population","diff1","diff2","diff3","diff4","diff5","averages"
"16","City of Cerritos, CA",16,33.866914,-118.068648,21150,21711,21915,22072,22324,22548,50067,1.02652482269504,1.00939615862927,1.007164042893,1.01141718013773,1.01003404407812,0.01290724968663
"17","City of Claremont, CA",17,34.09668,-117.71978,21308,21864,22119,22352,22558,22725,36484,1.02609348601464,1.01166300768386,1.01053393010534,1.00921617752326,1.00740313857611,0.012981947980645
"18","City of Commerce, CA",18,34,-118.1598,31846,32581,32788,32994,33308,33690,13069,1.02307982164165,1.00635339615113,1.00628278638526,1.00951688185731,1.01146871622433,0.0113403204519364
"19","City of Compton, CA",19,33.874815,-118.240208,27633,28089,28314,28463,28763,28992,99904,1.01650200846814,1.008010253124,1.00526241435332,1.01053999929733,1.00796161735563,0.00965525851968452
"20","City of Covina, CA",20,34.097345,-117.906736,25441,26071,26297,26344,26554,26944,49032,1.02476317754805,1.00866863564881,1.00178727611515,1.00797145460067,1.01468705279807,0.0115755193421487
"21","City of Cudahy, CA",21,33.96057,-118.185349,27457,27995,28242,28398,28747,29170,24347,1.01959427468405,1.00882300410788,1.00552368812407,1.012289597859,1.01471457891258,0.012189028737517
"22","City of Culver City, CA",22,33.998214,-118.394059,33300,34341,34587,34971,35412,35690,39865,1.03126126126126,1.00716344893859,1.01110243733195,1.01261044865746,1.00785044617644,0.0139976084731379
"23","City of Diamond Bar, CA",23,34.02862,-117.81034,18293,18719,18950,19167,19398,19558,57515,1.02328759634833,1.01234040279929,1.01145118733509,1.01205196431366,1.00824827301784,0.0134758847628436
"24","City of Downey, CA",24,33.9401,-118.1332,28952,29534,29799,29959,30259,30451,114263,1.02010223818734,1.00897270941965,1.00536930769489,1.01001368537001,1.00634521960408,0.0101606320551952
"25","City of Duarte, CA",25,34.1395,-117.9773,25531,25963,26108,26344,26585,26803,22016,1.01692060632173,1.00558487077765,1.00903937490424,1.00914819313696,1.00820011284559,0.00977863159723236
"26","City of El Monte, CA",26,34.078573,-118.043456,24762,25176,25437,25552,25730,25859,117269,1.01671916646474,1.01036701620591,1.00452097338523,1.00696618659987,1.00501360279829,0.00871738909080921
