"","placelist...1.","X","positions","X.1","day1$testing_rate_final","day2$testing_rate_final","day3$testing_rate_final","day4$testing_rate_final","day5$testing_rate_final","day6$testing_rate_final","Population","diff1","diff2","diff3","diff4","diff5","change1","change2","change3","change4","average"
"213","Los Angeles - West Adams, CA",213,34.0325,-118.3627,32834,33634,33865,34122,34495,34806,27630,0.0289540354686934,0.00836047774158523,0.00930148389431777,0.0134998190372783,0.0112558812884546,0.28875,1.11255411255411,1.45136186770428,0.833780160857909,-0.0783884647209246
"214","Los Angeles - West Hills, CA",214,34.1973,-118.644,29737,30581,30808,31141,31521,31905,40545,0.0208163768652115,0.00559871747441115,0.00821309655937847,0.00937230238007153,0.00947095819459859,0.268957345971564,1.46696035242291,1.14114114114114,1.01052631578947,-0.0281037111687284
"215","Los Angeles - West Los Angeles, CA",215,34.0412,-118.4426,37647,39396,39688,40188,40740,41301,37636,0.0464714634924009,0.0077585290679137,0.0132851525135509,0.0146668083749601,0.0149059411202041,0.166952544311035,1.71232876712329,1.104,1.01630434782609,-0.00010358518489767
"216","Los Angeles - West Vernon, CA",216,34.0053,-118.2802,32339,33081,33256,33504,33829,34132,53644,0.0138319290134964,0.00326224740884349,0.00462307061367534,0.00605845947356648,0.00564834837074044,0.235849056603774,1.41714285714286,1.31048387096774,0.932307692307692,-0.0260541307444837
"217","Los Angeles - Westchester, CA",217,33.9626,-118.3988,29888,30756,30987,31452,31797,32097,51603,0.0168207274770847,0.00447648392535318,0.00901110400558107,0.00668565781059241,0.00581361548747166,0.266129032258065,2.01298701298701,0.741935483870968,0.869565217391304,-0.0273458133731626
"218","Los Angeles - Westlake, CA",218,34.058,-118.2731,28436,29108,29270,29511,29816,30078,59355,0.0113217083649229,0.00272934040940106,0.0040603150534917,0.00513857299300817,0.00441411843989554,0.241071428571429,1.48765432098765,1.2655601659751,0.859016393442623,-0.0366744227557976
"219","Los Angeles - Westwood, CA",219,34.0635,-118.4455,31191,36835,37177,38567,39805,40337,54109,0.104307970947532,0.00632057513537489,0.0256888872461143,0.0228797427415033,0.00983200576613872,0.0605953224663359,4.06432748538012,0.890647482014389,0.429725363489499,0.361323913337585
"220","Los Angeles - Wholesale District, CA",220,34.0419,-118.2326,77320,78621,78926,80963,81610,82114,36129,0.0360098535802264,0.00844197182318913,0.0563813003404467,0.0179080517036176,0.0139500124553683,0.234435049961568,6.67868852459016,0.317623956799215,0.778979907264297,1.00243185965381
"221","Los Angeles - Wilmington, CA",221,33.784982,-118.287005,21162,21842,21975,22056,22414,22743,56487,0.0120381680740701,0.00235452404978137,0.00143395825588188,0.00633774142723104,0.00582434896524864,0.195588235294118,0.609022556390978,4.41975308641975,0.918994413407821,0.535839572878167
"222","Los Angeles - Wilshire Center, CA",222,34.0654,-118.3004,27303,28025,28232,28581,28922,29245,50170,0.0143910703607734,0.00412597169623281,0.00695634841538768,0.00679689057205501,0.00643811042455651,0.286703601108033,1.68599033816425,0.977077363896848,0.947214076246334,-0.0257536551461333
"223","Los Angeles - Winnetka, CA",223,34.2049,-118.574,29282,30078,30327,30636,31001,31437,51786,0.015370949677519,0.00480824933379678,0.00596686363109721,0.00704823697524427,0.00841926389371645,0.312814070351759,1.24096385542169,1.18122977346278,1.19452054794521,-0.0176179382046414
"224","Los Angeles - Woodland Hills, CA",224,34.1654,-118.609,34284,35174,35395,35789,36221,36606,68055,0.0130776577767982,0.00324737344794651,0.00578943501579605,0.00634780692087282,0.00565718903827786,0.248314606741573,1.78280542986425,1.09644670050761,0.891203703703704,0.0046926102042861
"225","Unincorporated - Acton, CA",225,34.48319,-118.18583,19408,19910,20085,20173,20499,20713,7971,0.0629782963241751,0.0219545853719734,0.0110400200727638,0.0408982561786476,0.0268473215405846,0.348605577689243,0.502857142857143,3.70454545454545,0.656441717791411,0.303112473220813
"226","Unincorporated - Agua Dulce, CA",226,34.4964,-118.3256,19769,20563,20707,20803,21140,21212,4158,0.190957190957191,0.0346320346320346,0.0230880230880231,0.0810485810485811,0.0173160173160173,0.181360201511335,0.666666666666667,3.51041666666667,0.213649851632047,0.143023346619179
"227","Unincorporated - Altadena, CA",227,34.195275,-118.137227,28998,29764,29977,30365,30626,30979,43620,0.0175607519486474,0.00488308115543329,0.00889500229252636,0.00598349381017882,0.00809261806510775,0.278067885117493,1.82159624413146,0.672680412371134,1.35249042145594,0.0312087407690053
"228","Unincorporated - Anaverde, CA",228,34.5611,-118.14118,16711,16777,16976,17175,17308,17440,1508,0.0437665782493369,0.131962864721485,0.131962864721485,0.0881962864721485,0.0875331564986737,3.01515151515152,1,0.668341708542714,0.992481203007519,0.418993606675437
"229","Unincorporated - Angeles National Forest, CA",229,34.3168,-118.0058,9960,10201,10281,10281,10361,10442,1245,0.193574297188755,0.0642570281124498,0,0.0642570281124498,0.0650602409638554,0.33195020746888,0,Inf,1.0125,Inf
"230","Unincorporated - Arcadia, CA",230,34.136258,-118.026704,22265,22817,23092,23431,23769,23844,7981,0.069164265129683,0.0344568349830848,0.0424758802155118,0.0423505826337552,0.00939731863175041,0.498188405797101,1.23272727272727,0.997050147492625,0.22189349112426,-0.262535170714685
"231","Unincorporated - Athens Village, CA",231,33.92,-118.2812,39391,40045,40372,40719,41148,41536,4897,0.133551153767613,0.0667755768838064,0.0708597100265469,0.0876046559117827,0.0792321829691648,0.5,1.0611620795107,1.23631123919308,0.904428904428904,-0.0745244442168272
"232","Unincorporated - Athens-Westmont, CA",232,33.952724,-118.291904,27838,28401,28594,28952,29315,29558,42442,0.013265161867961,0.00454738230997597,0.00843504076150983,0.00855284859337449,0.00572546062862259,0.342806394316163,1.85492227979275,1.01396648044693,0.669421487603306,-0.0297208394602144
"233","Unincorporated - Avocado Heights, CA",233,34.0361,-117.9912,25328,25756,25948,26007,26258,26568,6775,0.0631734317343173,0.0283394833948339,0.00870848708487085,0.0370479704797048,0.0457564575645756,0.448598130841121,0.307291666666667,4.25423728813559,1.23505976095618,0.561296711649889
"234","Unincorporated - Azusa, CA",234,34.13529,-117.91506,23369,23815,24047,24154,24374,24606,15923,0.0280097971487785,0.0145701186962256,0.00671983922627646,0.0138164918671105,0.0145701186962256,0.520179372197309,0.461206896551724,2.05607476635514,1.05454545454545,0.0230016224124072
"235","Unincorporated - Bassett, CA",235,34.049732,-117.996732,27509,27894,28042,28083,28339,28690,14817,0.0259836674090572,0.00998852669231288,0.00276709185395154,0.0172774515758926,0.0236890058716339,0.384415584415584,0.277027027027027,6.24390243902439,1.37109375,1.06910970011675
"236","Unincorporated - Bouquet Canyon, CA",236,34.440891,-118.501748,15750,16496,16682,16869,16962,17148,1073,0.69524697110904,0.173345759552656,0.174277726001864,0.0866728797763281,0.173345759552656,0.249329758713137,1.00537634408602,0.497326203208556,2,-0.0619919234980714
"237","Unincorporated - Bradbury, CA",237,34.147,-117.9709,94444,96296,97222,97222,97222,100926,108,17.1481481481481,8.57407407407407,0,0,34.2962962962963,0.5,0,NA,Inf,NA
"238","Unincorporated - Canyon Country, CA",238,34.441427,-118.448088,27497,28339,28597,28895,29309,29464,7728,0.108954451345756,0.0333850931677019,0.0385610766045549,0.0535714285714286,0.0200569358178054,0.306413301662708,1.15503875968992,1.38926174496644,0.374396135265701,-0.193722514603807
"239","Unincorporated - Castaic, CA",239,34.489,-118.6257,17289,17749,17962,18094,18285,18399,27191,0.0169173623625464,0.00783347431135302,0.0048545474605568,0.00702438306792689,0.00419256371593542,0.46304347826087,0.619718309859155,1.4469696969697,0.596858638743456,-0.218352469041706
"240","Unincorporated - Cerritos, CA",240,33.866914,-118.068648,27939,28620,28790,28450,28961,29302,587,1.16013628620102,0.289608177172061,-0.579216354344123,0.870528109028961,0.580919931856899,0.249632892804699,-2,-1.50294117647059,0.667318982387476,-1.6464973253196
"241","Unincorporated - Claremont, CA",241,34.09668,-117.71978,23932,24359,24501,24786,24786,24786,702,0.608262108262108,0.202279202279202,0.405982905982906,0,0,0.332552693208431,2.00704225352113,0,NA,NA
"242","Unincorporated - Covina, CA",242,34.097345,-117.906736,23913,24550,24710,24722,24924,25257,16819,0.0378738331648731,0.00951305071645163,0.000713478803733872,0.0120102265295202,0.019799036803615,0.251177394034537,0.075,16.8333333333333,1.64851485148515,3.70200639471325
"243","Unincorporated - Covina (Charter Oak), CA",243,34.097345,-117.906736,22284,22824,23030,23189,23387,23783,13144,0.0410833840535606,0.015672550213025,0.0120967741935484,0.0150639074863055,0.0301278149726111,0.381481481481482,0.771844660194175,1.24528301886792,2,0.0996522901358952
