"","day1.MODIFIED_ZCTA","day1","day2","day3","day4","day5","day6","day7","rate1","rate2","rate3","rate4","rate5","rate6","Average","Location"
"14",10016,14341,14787,15182,15773,16056,16590,16869,1.03109964437626,1.02671265300602,1.03892767751284,1.01794205287517,1.03325859491779,1.01681735985533,0.027459663757236,"Kips Bay/Murray Hill/NoMad"
"15",10017,3936,4040,4139,4326,4398,4526,4622,1.02642276422764,1.02450495049505,1.04517999516792,1.01664355062413,1.02910413824466,1.02121078214759,0.0271776968178314,"East Midtown/Murray Hill"
"16",10018,2262,2342,2409,2513,2551,2657,2704,1.03536693191866,1.02860802732707,1.04317144043171,1.01512136888181,1.04155233241866,1.01768912307113,0.030251537341508,"Hell's Kitchen/Midtown Manhattan"
"17",10019,12381,12697,13056,13650,13857,14274,14529,1.02552297875777,1.0282743955265,1.04549632352941,1.01516483516484,1.03009309374323,1.01786464901219,0.0270693792889913,"Hell's Kitchen/Midtown Manhattan"
"18",10021,12337,12723,13022,13470,13656,14008,14250,1.03128799546081,1.02350074667924,1.03440331746276,1.01380846325167,1.02577621558289,1.01727584237579,0.0243420968021928,"Lenox Hill/Upper East Side"
"19",10022,8012,8222,8423,8772,8923,9202,9399,1.02621068397404,1.02444660666505,1.04143416834857,1.0172138622891,1.03126751092682,1.02140838948055,0.0269968702806869,"East Midtown"
"20",10023,14807,15280,15710,16405,16653,17152,17460,1.03194435064497,1.02814136125654,1.04423933800127,1.0151173422737,1.02996457094818,1.01795708955224,0.0278940087794828,"Lincoln Square"
"21",10024,15734,16338,16793,17504,17781,18428,18753,1.03838820388967,1.02784918594687,1.04233906985053,1.01582495429616,1.03638715482819,1.01763620577382,0.0297374624308735,"Upper West Side"
"22",10025,26891,27968,29044,30781,31188,32473,32984,1.04005057454167,1.03847254004577,1.05980581187164,1.01322244241578,1.04120174426061,1.01573615003233,0.0347482105279668,"Manhattan Valley/Morningside Heights/Upper West Side"
"23",10026,8861,9143,9433,9818,10009,10325,10495,1.03182485046834,1.03171825440227,1.04081416304463,1.01945406396415,1.03157158557298,1.01646489104116,0.0286413014155906,"Central Harlem (South)"
"24",10027,14909,15673,16385,17719,17688,18497,18827,1.05124421490375,1.04542844382058,1.08141592920354,0.998250465601896,1.04573722297603,1.01784073092934,0.0399861679058562,"Central Harlem (South)/Morningside Heights/West Harlem"
"25",10028,11419,11730,12020,12439,12641,12994,13227,1.02723530957177,1.02472293265132,1.03485856905158,1.01623924752794,1.02792500593307,1.01793135293212,0.024818736277967,"Upper East Side/Yorkville"
"26",10029,19907,20386,20808,21426,21745,22221,22520,1.02406188777817,1.02070048072206,1.02970011534025,1.01488845328106,1.02189008967579,1.0134557400657,0.020782794477173,"East Harlem"
"27",10030,6140,6287,6421,6645,6786,7005,7150,1.02394136807818,1.02131382217274,1.03488553184862,1.02121896162528,1.03227232537577,1.02069950035689,0.0257219182429131,"Central Harlem (North)"
"28",10031,14464,14812,15089,15557,15733,16109,16333,1.02405973451327,1.01870105320011,1.03101597190006,1.01131323519959,1.0238988114155,1.01390527034577,0.020482346095716,"Hamilton Heights/West Harlem"
"29",10032,15123,15611,15949,16517,16724,17125,17399,1.03226872974939,1.02165139965409,1.03561351808891,1.01253254222922,1.02397751734035,1.016,0.0236739511769923,"Washington Heights (South)"
"30",10033,13809,14154,14432,14959,15181,15558,15802,1.02498370627851,1.01964109085771,1.03651607538803,1.01484056420884,1.02483367367104,1.01568324977504,0.0227497266965262,"Washington Heights (North)/Washington Heights (South)"
"31",10034,9342,9596,9812,10128,10252,10472,10613,1.02718903874973,1.02250937890788,1.03220546269874,1.01224328593997,1.02145922746781,1.01346447669977,0.021511811743983,"Inwood/Washington Heights (North)"
"32",10035,9542,9737,9929,10218,10469,10803,11018,1.02043596730245,1.01971859915785,1.02910665726659,1.02456449403014,1.03190371573216,1.01990187910766,0.0242718854328094,"East Harlem"
"33",10036,7991,8202,8430,8817,8977,9202,9338,1.02640470529346,1.02779809802487,1.04590747330961,1.01814676193717,1.02506405257881,1.01477939578353,0.0263500811545734,"Hell's Kitchen/Midtown Manhattan"
"34",10037,5327,5427,5526,5688,5766,5911,5993,1.01877229209686,1.01824212271973,1.02931596091205,1.01371308016878,1.02514741588623,1.0138724412113,0.0198438854991598,"Central Harlem (North)/East Harlem"
"35",10038,4857,5025,5331,5546,5645,5857,6042,1.03458925262508,1.06089552238806,1.04033014443819,1.01785070320952,1.03755535872453,1.03158613624723,0.0371345196054349,"Chinatown/Financial District"
"36",10039,5761,5899,5997,6162,6244,6423,6527,1.02395417462246,1.01661298525174,1.02751375687844,1.01330736773775,1.02866752081999,1.01619181068037,0.0210412693317901,"Central Harlem (North)/Washington Heights (South)"
"37",10040,11339,11595,11850,12177,12322,12658,12858,1.02257694682071,1.02199223803364,1.02759493670886,1.01190769483452,1.02726830060055,1.01580028440512,0.0211900669005665,"Washington Heights (North)"
"38",10044,2797,2912,3001,3076,3121,3194,3234,1.04111548087236,1.03056318681319,1.02499166944352,1.01462938881664,1.02338993912208,1.01252348152786,0.0245355244326091,"Roosevelt Island"
"39",10065,8358,8593,8809,9161,9304,9589,9755,1.02811677434793,1.02513673920633,1.03995913270519,1.01560964960157,1.03063198624248,1.01731150276358,0.02612763081118,"Lenox Hill/Upper East Side"
"40",10069,1674,1774,1843,1961,1990,2063,2103,1.05973715651135,1.03889515219842,1.06402604449268,1.01478837327894,1.03668341708543,1.01938923897237,0.0389198970898639,"Lincoln Square"
"41",10075,7067,7316,7494,7731,7856,8097,8208,1.03523418706665,1.02433023510115,1.03162530024019,1.01616867158194,1.03067718940937,1.01370878103001,0.025290727404885,"Lenox Hill/Upper East Side"
"42",10128,15692,16133,16527,17232,17540,18028,18323,1.02810349222534,1.02442199218992,1.04265746959521,1.01787372330548,1.02782212086659,1.0163634346572,0.0262070388066227,"Upper East Side/Yorkville"
"43",10280,1705,1757,1817,1911,1958,2017,2071,1.03049853372434,1.03414911781446,1.05173362685746,1.02459445316588,1.03013278855975,1.02677243430838,0.0329801590717116,"Battery Park City"
"44",10282,1081,1112,1147,1225,1256,1300,1316,1.02867715078631,1.03147482014388,1.06800348735833,1.02530612244898,1.03503184713376,1.01230769230769,0.0334668533631584,"Battery Park City"
"45",10301,9719,9891,10103,10371,10591,10788,10974,1.01769729396028,1.02143362652917,1.02652677422548,1.02121299778228,1.01860069870645,1.01724137931034,0.020452128419,"Silver Lake/St. George"
"46",10302,3991,4069,4152,4342,4446,4571,4635,1.01954397394137,1.02039813221922,1.04576107899807,1.02395209580838,1.02811515969411,1.01400131262306,0.0252952922140348,"Elm Park"
"47",10303,6140,6226,6322,6512,6607,6749,6822,1.01400651465798,1.0154192097655,1.03005378044922,1.01458845208845,1.02149235659149,1.010816417247,0.0177294551332752,"Graniteville/Mariner's Harbor/Port Ivory"
"48",10304,10522,10760,10944,11264,11453,11686,11868,1.0226192739023,1.01710037174721,1.02923976608187,1.01677911931818,1.02034401466865,1.01557419134007,0.0202761228430459,"New Dorp/Todt Hill"
"49",10305,9324,9483,9651,9962,10117,10346,10502,1.01705276705277,1.01771591268586,1.03222463993369,1.01555912467376,1.02263516852822,1.01507829112701,0.0200443173335496,"Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze"
"50",10306,12542,12820,13081,13545,13806,14155,14422,1.0221655238399,1.02035881435257,1.03547129424356,1.01926910299003,1.02527886426192,1.01886259272342,0.0235676987352331,"Lighthouse Hill/Midland Beach/New Dorp/Oakwood"
"51",10307,2991,3050,3102,3216,3274,3369,3415,1.01972584419926,1.01704918032787,1.03675048355899,1.01803482587065,1.02901649358583,1.01365390323538,0.0223717884629973,"Tottenville"
"52",10308,5802,5921,6013,6235,6398,6523,6638,1.02051016890727,1.01553791589259,1.03692000665225,1.0261427425822,1.01953735542357,1.01762992488119,0.0227130190565115,"Great Kills"
"53",10309,7044,7193,7323,7577,7746,7938,8066,1.02115275411698,1.01807312665091,1.03468523829032,1.0223043420879,1.02478698683191,1.01612496850592,0.0228545694139899,"Charleston/Prince's Bay/Woodrow"
"54",10310,5647,5776,5892,6101,6242,6421,6513,1.02284398795821,1.02008310249307,1.03547182620502,1.02311096541551,1.02867670618392,1.01432798629497,0.0240857624251163,"Port Richmond/Randall Manor/West Brighton"
"55",10312,12779,13046,13274,13808,14115,14435,14687,1.02089365365052,1.01747662118657,1.04022901913515,1.02223348783314,1.02267091746369,1.01745756841011,0.0234935446131981,"Annadale/Rossville"
"56",10314,20835,21252,21646,22371,22832,23370,23747,1.02001439884809,1.01853943158291,1.03349348609443,1.02060703589469,1.02356341976174,1.01613179289688,0.022058260846455,"Bloomfield/Freshkills Park"
"57",10451,12613,12875,13091,13467,13679,13930,14106,1.02077221913898,1.01677669902913,1.02872202276373,1.01574218459939,1.01834929453907,1.01263460157933,0.0188328369416053,"Concourse/Melrose"
"58",10452,18790,19266,19625,20163,20422,20942,21232,1.02533262373603,1.01863386276342,1.02741401273885,1.01284531071765,1.02546273626481,1.01384777003152,0.0205893860420467,"Concourse/Highbridge"
"59",10453,17830,18291,18610,19180,19471,19991,20281,1.02585530005609,1.01744027117161,1.0306286942504,1.01517205422315,1.02670638385291,1.01450652793757,0.0217182052486222,"Morris Heights/Mount Hope/University Heights"
"60",10454,8958,9146,9311,9591,9705,9911,10028,1.02098682741683,1.01804067351848,1.03007195789926,1.01188614325931,1.02122617207625,1.0118050650792,0.0190028065415553,"Mott Haven/Port Morris"
"61",10455,10119,10320,10487,10755,10889,11139,11280,1.01986362288764,1.01618217054264,1.02555544960427,1.01245932124593,1.02295894939848,1.0126582278481,0.0182796235878424,"Mott Haven"
"62",10456,20786,21258,21732,22382,22730,23361,23678,1.02270759164822,1.02229748800452,1.02990981041782,1.01554820838174,1.02776066871975,1.01356962458799,0.0219655652933393,"Claremont/Morrisania"
"63",10457,17652,18076,18409,18922,19198,19624,19865,1.02401994108316,1.01842221730471,1.02786680428052,1.01458619596237,1.02218981143869,1.01228088055442,0.0198943084373131,"Belmont/Claremont/Mount Hope/Tremont"
"64",10458,17023,17391,17787,18328,18592,19159,19494,1.02161781119662,1.02277039848197,1.03041547197391,1.01440419030991,1.03049698795181,1.01748525497155,0.0228650191476287,"Belmont/Fordham University/Kingsbridge"
"65",10459,11889,12201,12460,12877,13112,13451,13635,1.0262427453949,1.02122776821572,1.03346709470305,1.01824959229634,1.02585417937767,1.0136792803509,0.0231201100564313,"Charlotte Gardens/Hunts Point"
"66",10460,13108,13375,13647,14040,14262,14623,14812,1.02036924015868,1.02033644859813,1.02879753792042,1.01581196581197,1.0253120179498,1.01292484442317,0.0205920091436944,"Charlotte Gardens/Tremont/Van Nest/West Farms"
"67",10461,13394,13619,13909,14348,14557,14879,15112,1.01679856652232,1.02129378074749,1.0315622977928,1.01456649010315,1.0221199422958,1.01565965454668,0.0203334553347057,"Morris Park/Pelham Bay/Westchester Square"
"68",10462,18039,18427,18791,19356,19704,20171,20464,1.02150895282444,1.01975362240191,1.03006758554627,1.01797892126472,1.02370077141697,1.01452580437261,0.0212559429711545,"Parkchester/Pelham Parkway/Van Nest/Westchester Square"
"69",10463,18616,19115,19521,20214,20671,21103,21431,1.0268048990116,1.02123986398117,1.03550023052098,1.02260809340061,1.02089884379082,1.01554281381794,0.0237657907538531,"Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil"
"70",10464,1113,1129,1147,1178,1189,1215,1230,1.01437556154537,1.01594331266608,1.02702702702703,1.00933786078098,1.02186711522288,1.01234567901235,0.0168160927091139,"City Island"
"71",10465,11073,11325,11500,11863,12060,12296,12513,1.0227580601463,1.01545253863135,1.0315652173913,1.01660625474163,1.0195688225539,1.01764801561483,0.0205998181798863,"Country Club/Throgs Neck"
